RTC End Time Stamp,Zone Name,Zone PTID,RTC Zonal LBMP,RTC Zonal Losses,RTC Zonal Congestion,RTC Zonal Price Version
3/1/2024 8:45,MHK VL,61756,25.15,0.68,0,1
3/1/2024 8:45,MILLWD,61759,26.01,1.54,0,1
3/1/2024 8:45,N.Y.C.,61761,26.25,1.79,0,1
3/1/2024 8:45,NORTH,61755,25,0.54,0,1
3/1/2024 8:45,WEST,61752,22.07,-2.4,0,1
3/1/2024 9:00,CAPITL,61757,41.14,1.39,0,1
3/1/2024 9:00,CENTRL,61754,39.03,-0.71,0,1
3/1/2024 9:00,DUNWOD,61760,42.01,2.26,0,1
3/1/2024 9:00,GENESE,61753,36.89,-2.86,0,1
3/1/2024 9:00,HUD VL,61758,41.66,1.91,0,1
3/1/2024 9:00,LONGIL,61762,41.97,2.22,0,1
3/1/2024 9:00,MHK VL,61756,40.78,1.03,0,1
3/1/2024 9:00,MILLWD,61759,41.89,2.14,0,1
3/1/2024 9:00,N.Y.C.,61761,42.17,2.42,0,1
3/1/2024 9:00,NORTH,61755,40.62,0.87,0,1
3/1/2024 9:00,WEST,61752,36.41,-3.34,0,1
3/1/2024 9:15,CAPITL,61757,30.55,1.03,0,1
3/1/2024 9:15,CENTRL,61754,28.96,-0.56,0,1
3/1/2024 9:15,DUNWOD,61760,31.26,1.74,0,1
3/1/2024 9:15,GENESE,61753,27.36,-2.15,0,1
3/1/2024 9:15,HUD VL,61758,30.96,1.45,0,1
3/1/2024 9:15,LONGIL,61762,31.35,1.83,0,1
3/1/2024 9:15,MHK VL,61756,30.26,0.74,0,1
3/1/2024 9:15,MILLWD,61759,31.17,1.65,0,1
3/1/2024 9:15,N.Y.C.,61761,40.48,1.89,-9.07,1
3/1/2024 9:15,NORTH,61755,30.05,0.53,0,1
3/1/2024 9:15,WEST,61752,27.04,-2.48,0,1
3/1/2024 9:30,CAPITL,61757,27.59,0.83,0,1
3/1/2024 9:30,CENTRL,61754,26.28,-0.48,0,1
3/1/2024 9:30,DUNWOD,61760,28.34,1.58,0,1
3/1/2024 9:30,GENESE,61753,24.81,-1.95,0,1
3/1/2024 9:30,HUD VL,61758,28.04,1.28,0,1
3/1/2024 9:30,LONGIL,61762,28.42,1.66,0,1
3/1/2024 9:30,MHK VL,61756,27.45,0.69,0,1
3/1/2024 9:30,MILLWD,61759,28.23,1.47,0,1
3/1/2024 9:30,N.Y.C.,61761,28.47,1.71,0,1
3/1/2024 9:30,NORTH,61755,27.29,0.53,0,1
3/1/2024 9:30,WEST,61752,24.56,-2.19,0,1
3/1/2024 9:45,CAPITL,61757,24.35,0.62,0,1
